ACCOUNT_TYPE,ACCOUNT_NAME,ACCOUNT_NUMBER,CHARGE_AMOUNT,DESCRIPTION,TIMESTAMP
SAVINGS,"Smith, John",1122334455,$300.00,DIRECT DEPOSIT,2015-10-01
CHECKING,"Smith, John",1122334455,"$1,275.00",PAYCHECK,2015-10-01
CREDIT,"Smith, John",1122334455,$342.17,"BOB'S COMPANY, LLC",2015-10-04
CHECKING,"Smith, John",1122334455,-$120.52,WITHDRAWAL,2015-10-12
CHECKING,"Smith, John",1122334455,$27.00,DEPOSIT,2015-10-21
CREDIT,"Smith, John",1122334455,$52.60,#12 STREET STORE,2015-10-28
CREDIT,"Smith, John",1122334455,-$25.00,MINIMUM PAYMENT,2015-10-31
CHECKING,"Smith, John",1122334455,-$25.00,WITHDRAWAL - CC MINIMUM PAYMENT,2015-10-31
SAVINGS,"Smith, John",1122334455,$300.00,DIRECT DEPOSIT,2015-11-01
CHECKING,"Smith, John",1122334455,"$1,275.00",PAYCHECK,2015-11-01
CHECKING,"Smith, John",1122334455,-$205.17,WITHDRAWAL,2015-11-08
CREDIT,"Smith, John",1122334455,$10.08,DINER (AND RESTAURANT),2015-11-14
CHECKING,"Smith, John",1122334455,-$105.46,WITHDRAWAL,2015-11-19
CREDIT,"Smith, John",1122334455,-$369.77,PAYMENT IN FULL,2015-11-30
CHECKING,"Smith, John",1122334455,-$369.77,WITHDRAWAL - CC PAYMENT IN FULL,2015-11-30
